City,State,State Preemption Law,Preemption but Broad Regulation at Local Level,Extreme Preemption,Airports (Stricter than Fed),Courts Allowed,Govt-owned Bldg Allowed,Law Enforcement Stations Allowed,Public Transit Allowed,Parks Allowed,Bars Allowed,Historic Sites Allowed,Church Allowed,Distance (FT),,Notes,Other Notes,,
Phoenix,AZ,1,0,1,,,,,1,1,1,1,1,,,"ARS 13-3108 prohibits cities and counties from banning firearms in parks. Therefore, depending on your age, you may carry open or concealed in local parks. https://www.phoenix.gov/policesite/Documents/088411.pdf",City of Phoenix ordinances prohibits the possession of a firearm in a city park of 1 square mile or less where posted “Carrying a firearm in this park is limited to persons who possess a permit issued pursuant to A.R.S. § 13-3112,,
Portland,WA,1,,,,,0,0,0,0,,,,,,,,,
Raleigh,NC,1,,,,0,,0,,1,0,,1,,,https://www.ncleg.gov/EnactedLegislation/Statutes/PDF/BySection/Chapter_14/GS_14-415.11.pdf,https://www.ncleg.net/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-415.23.html,,
Sacramento County,CA,1,1,0,,0,0,0,0,0,0,,,,,,,,
Saint Paul,MN,1,,1,,1,,,,0,1,,,,,https://www.stpaul.gov/sites/default/files/Media%20Root/Parks%20%26%20Recreation/2018%20Rules%20and%20Regulations.%20FINAL%20DRAFT.pdf,,,
Salt Lake City,UT,1,,,,,,,1,1,1,,0,,,https://www.sltrib.com/news/politics/2020/02/11/salt-lake-county-opposes/,,https://archive.sltrib.com/article.php?id=58309720&itype=CMSID,
San Francisco,CA,1,1,0,,0,0,0,0,0,0,,,,,,,,
St Louis County,MO,1,,0,,0,1,0,1,0,0,,1,,,https://www.kansascity.com/opinion/editorials/article238484738.html,,,
Tucson,AZ,1,,1,,,,,1,1,1,1,1,,,Note: 2017 State ex rel Brnovich v City of Tucson expansion,,,
Virginia Beach,VA,1,,,,0,,,,0,1,,0,,,https://law.lis.virginia.gov/vacode/title18.2/chapter7/section18.2-287.4/,"In 2010, Virginia enacted a law that allows concealed handgun permit holders to carry firearms in any restaurant or club licensed to serve alcoholic beverages for on-premises consumption. Concealed handgun permit holders were previously prohibited from carrying concealed handguns in these locations. Under the new law, permit holders were only prohibited from consuming an alcoholic beverage while on the premises",,
